5.57,1,1
7.43,1,1
4.37,1,1
8.22,1,1
8.17,1,1
4.6,1,1
5.52,1,1
6.4,1,1
4.55,1,1
6.94,1,1
7.3,1,1
6.26,1,1
7.34,1,1
2.66,1,1
5.08,1,1
7.53,1,1
8.96,1,1
7.62,1,1
7.81,2,1
8.9,2,1
7.65,2,1
5.76,2,1
5.25,2,1
6.8,2,1
8.59,2,1
9.35,2,1
6.13,2,1
6.65,2,1
8.93,2,1
8.09,2,1
8.73,2,1
4.7,2,1
5.18,2,1
8.83,2,1
9.48,2,1
7.6,2,1
9.85,3,1
10.06,3,1
9.97,3,1
10.53,3,1
11.82,3,1
10.68,3,1
11.65,3,1
11.64,3,1
9.51,3,1
9.54,3,1
11.02,3,1
10.55,3,1
12.3,3,1
7.99,3,1
10.38,3,1
11.57,3,1
9.88,3,1
9.75,3,1
1.17,1,2
0.86,1,2
1.21,1,2
0.45,1,2
0.09,1,2
7.51,1,2
1.98,1,2
2.72,1,2
1.55,1,2
1.69,1,2
1.09,1,2
1.6,2,2
1.97,2,2
3.21,2,2
2.66,2,2
1.86,2,2
8.74,2,2
4.78,2,2
6.04,2,2
2.82,2,2
3.93,2,2
2.92,2,2
4.64,3,2
5.13,3,2
6.24,3,2
8.59,3,2
5.85,3,2
11.58,3,2
10.14,3,2
8.97,3,2
5.28,3,2
7.5,3,2
7.02,3,2